,JUNB,CCL5,S100A4,JUN,KLRB1,FOS,RGCC,ZFP36,GNLY,KLF6,ANXA1,YPEL5,LTB,NFKBIA,CRIP1,CD69,ACTB,FTH1,CXCR4,ZFP36L2,IL32,TRBC1,DUSP1,ACTG1,KLF2,TRBC2,TNFAIP3,VIM,NKG7,LMNA,H3F3B,TSC22D3,EEF1B2,BTG1,PABPC1,RPL21,SRGN,EEF1A1,ZNF331,RPS5,GAPDH,RPS13,PPP1R15A,DUSP2,TRAC,NPM1,RPS12,EEF2,NR4A2,PNRC1
ANXA1,0.0,0.0003151959744833432,0.09858036927015808,0.0,0.02626803983393159,0.0,0.025707293482538092,0.014030266662123838,0.008667235035258281,0.11284853630656595,0.0,0.0,-9.805951361926662e-05,0.02300076505997198,0.1405902219324682,0.031994297387705595,0.008666713305113455,0.02877106396353643,0.0,0.03989083362851625,-0.00954221595795094,-0.005288098501683108,0.0,0.0,0.0,0.0,0.04060547659114543,0.05876875715071324,0.0,0.10146142160145341,0.012753832828254189,0.014907262117076802,0.0,0.0,0.0,0.0,0.02587242431421918,0.0,0.01612169452254119,0.0,0.012964876683998221,0.0,0.03250100649003444,0.012812776097752995,-0.002700055909462066,0.0,0.015347210847054926,0.0,0.0,0.0
YPEL5,0.0851990939212074,0.019045759923888468,0.05958112678408645,0.0,0.03182616131277292,0.005545003346239734,0.06849911534026427,0.0,0.0,0.030398827515714,0.0,0.0,0.007311589547602009,0.0,0.0,-0.002642864876135123,0.0,0.10666617818923368,0.055334676717264386,0.0,0.002896950908086489,0.0,0.0,0.0,0.08292093931221087,-0.002623663658870695,0.05800401851185135,0.0033303238157244342,0.0,0.013896792861411846,0.06454229554406264,0.06990912595416814,0.0,0.06582956586336346,0.056697744590323236,0.0,0.01745025389577388,0.0,0.08497446098276952,0.0,0.0,0.024591448964508687,0.03299059194113093,0.006703710326595366,0.0,0.0036024603273785336,0.0,0.0,0.03695591717995474,0.08070950402336931
LTB,0.0,0.060144134388327455,0.04845481802109267,0.0,0.12307884917748452,0.0,0.0,-0.011374683601082614,0.062171638538404524,0.04770951796146355,0.009092553886696402,0.0,0.0,0.01619350183754196,0.05282641549307308,0.0408368748119835,0.0,0.0,0.0,0.0,0.07572137301066334,0.005227538056833353,0.007411105997277128,0.0,0.007043376863639273,0.018473098497042487,0.036950240975889094,0.0,0.26400290159148976,0.0,0.0,0.007396448310207698,0.0,0.0,0.0,0.0,-0.01248523894199931,0.11303254351318905,0.0,0.0,0.0013522931784337448,0.02936632475937828,0.0,0.0,0.042128544941791926,0.0,0.10839223412920479,-0.007683757496442696,0.008596067075833434,0.0
NFKBIA,0.030446257780953247,0.03268647092059164,0.0,0.016865142017291345,0.060632460786849154,-0.014719455361475644,0.04606951799395244,0.07160694865077985,0.0007764068639331019,0.028442670333437236,0.021774704002887862,0.0,0.00762689459006931,0.0,0.0,0.0565593768152661,0.0,0.035875808579390836,0.03335478565771368,0.05103701947977852,0.0,0.00446953703495549,0.00885859359653638,0.0,0.0,0.0,0.10146591480863792,0.0,0.0,0.0731064100127007,0.0270140589606987,0.01709968204712583,0.0,0.008677249905934784,0.0,0.0,0.05204587406949481,0.0,0.0,0.0,0.0,0.0,0.05421072783924402,0.04314797352294535,0.010608998005293005,0.0,0.0,0.0030743987370054513,0.00773069141908083,0.08297769419756064
CRIP1,0.0,0.0,0.2329334247317384,0.0,0.035162241460233334,0.0,0.0,0.0,0.009553638698715495,0.08951814295529545,0.13798554707328822,0.0,0.03570778143598025,0.0,0.0,0.0,0.042858876370560885,0.050191157773266507,0.007362744083929676,0.022077139605245582,0.02526617893815533,0.0,-0.004814797261401319,0.009156986384475721,0.0,0.018066379936367647,0.0,0.10623598001624814,0.0,0.06430139338824005,0.0,0.0,0.0,0.02240429655844459,0.0,0.0,0.012347035487604177,0.0,-0.0032052831709826813,0.0,0.038361588839332446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021923974516584255,0.0
CD69,0.030008883136155507,0.0,0.0,0.0940651930836016,0.0,0.08516750877008206,0.020014711541712787,-0.0006615115191870727,0.001680691770343736,0.075668186687457,0.022019488155265013,0.01143312656899792,0.05171434120806378,0.055591516185395026,0.0,0.0,0.0,-0.005781133344274329,0.0,0.0,0.0,0.0,0.08511233345646889,0.0,0.020843923415762914,0.0,0.01910805121480331,0.012134857845980175,0.0,-0.019429963927715118,0.06724355422161295,-0.0020456049909605254,0.0,0.032945893067496554,0.0,0.0,0.04347981785437212,0.0,0.0,0.0,0.0,0.0,0.03065656438628321,0.004606647159217836,0.0,0.0,0.0,0.0,0.044458803029206004,0.05830525434337077
ACTB,0.013158125515925307,0.0,0.05820423207849569,0.0,-0.002174740656208126,0.0,-0.010118081901887156,0.0,0.012608743554874902,0.0,0.008270471901364661,-0.0073309036435515625,0.009774441315639105,0.0,0.016626321345260826,0.0,0.0,0.020910706210664976,0.0,0.0025853998972776297,0.06790496344346152,0.03705498044170503,0.0,0.3525306262637997,0.0,0.022505788438876354,0.0,0.04813011478356462,0.12125905430988367,0.01667544491193645,0.030769511000759375,0.0,0.0,0.0,0.0,0.03437155708953285,0.006329850024380079,0.09832536721817944,0.0033001296613441207,0.0051704512328112,0.09265008225317732,-0.005263949440091916,0.0,0.0,0.09878890911143204,-0.004410318544188571,0.0,0.0,-0.004193913982525397,0.0
FTH1,0.1333524834392419,0.017505299655888366,0.011035711328875855,0.026994507770454475,0.0,0.035572968106398074,0.03883553832508683,0.016722724738117253,0.0,0.017099752624046366,0.032993200034949495,0.11186119005769399,-0.00010605946143152703,0.02833145316281702,0.056032822286301597,0.0,0.029405644339517714,0.0,0.028809368960869813,0.01663702922295923,-0.009828288868921082,0.014727813472680214,0.0,0.0,0.0,0.0,0.035123856976871794,0.0465385149764821,0.015766989246489133,0.052315090415807015,0.046020920960092394,0.023046432058218644,0.0014451808257833247,0.012184312267779981,0.048899391586262095,0.019985033096400994,0.08158858043805989,0.04091184754268479,0.029461595290428542,-0.01977631782955896,0.03166464758680747,0.01787669631282079,0.009318652653747246,0.0033404629534651417,0.0,0.015791322795614696,0.02653620873315385,0.013361828228765903,0.039407255091352074,0.030776195697121957
CXCR4,0.11297605379379728,0.07517851132094508,0.0,0.0002033285433723041,0.0,0.0,0.039556797681299535,0.025197404216330467,0.0,0.0,0.0,0.08327180684886017,0.0,0.03487716621328433,0.0,0.0,0.0,0.03480148118799036,0.0,0.03853402139240551,0.0,0.005603820412678829,0.0,0.0,0.07092877419676823,-0.00027980959982302795,0.05154423109581967,0.0,0.0,0.004962539525225683,0.00928553873428945,0.0704361547839823,0.0,0.08243233868064123,0.011722007497330761,0.0,0.011700072822167364,0.0,0.03743252016100767,0.0,0.011552223718852983,0.007960901499443552,0.0,0.026921742740619016,0.0009680694816018709,0.0,0.0,0.0,0.031105346656498632,0.038266834271092835
ZFP36L2,0.08777364883265279,0.030867440296888832,0.0,0.0,0.024715578423644028,0.0,0.0,0.04793818210460977,0.0,-0.0232189891825271,0.037311236685788216,-0.009515001123545782,0.0,0.05642274299447927,-0.005520563101747834,0.0,0.0,0.022007775096568028,0.03644838313340836,0.0,0.005283031480057205,0.0,-0.0040716531583976315,0.0,0.011141630633769443,0.0,0.06353433260929162,0.0,0.01344940106254268,0.024086321025041105,0.007821219448848287,0.03773471596565621,0.004162449579716454,0.03390118823791576,0.023188514035543135,0.03747080971730599,0.0,0.03351927403092302,0.02631658897444995,0.0,0.0,0.0,0.015007737293723785,0.03460383755475635,0.012114958157789008,0.0,0.0,0.0,0.016392629668806016,-0.015170254667040965
